anho_nacimiento,nombre,fecha_creacion,total_obras,autor_id
1926,"Ginsberg, Allen",2008-04-01T03:28:50.625462,295,478
1932,Umberto Eco,2008-04-01T03:28:50.625462,507,479
,,2010-11-19T02:05:43.480089,34,480
1928,"Toffler, Alvin.",2008-04-01T03:28:50.625462,67,481
1951,Orson Scott Card,2008-04-01T03:28:50.625462,379,482
,Sharman Apt Russell,2008-04-01T03:28:50.625462,27,483
,,,10,484
,Eric Jay Dolin,,22,485
,,2008-04-29T13:35:46.876380,276,486
1975,Ta-Nehisi Coates,2008-04-30T09:38:13.731961,67,487
,Atul Gawande,2008-04-01T03:28:50.625462,20,488
,Ken Corbett,2009-02-18T01:06:09.065431,10,489
,,,9,490
1958,Annette Gordon-Reed,2008-04-01T03:28:50.625462,20,491
1965,Jen Sincero,2008-04-29T15:03:11.581851,32,492
,,2020-08-30T10:28:44.771950,1,493
1951,Mary Ellis,2008-12-11T22:31:38.506319,27,494
,,2020-08-04T21:23:02.238299,9,495
1940,Frances Mayes,2008-04-01T03:28:50.625462,46,496
,,,,497
1968,"Jacobs, A. J.",2008-04-01T03:28:50.625462,25,498
1948,Julia Donaldson,2008-04-01T03:28:50.625462,643,499
1909,E. H. Gombrich,2008-04-01T03:28:50.625462,220,500
1809,Charles Darwin,2008-04-01T03:28:50.625462,1978,501
1896,F. Scott Fitzgerald,2008-04-01T03:28:50.625462,1272,502
1978,,2016-07-19T00:43:24.314543,54,503
1960,Jeannette Walls,2008-04-01T03:28:50.625462,17,504
,,2016-04-11T18:02:00.156145,6,505
1964,Caitlín R. Kiernan,2008-04-01T03:28:50.625462,112,506
1954,Philippa Gregory,2008-04-01T03:28:50.625462,329,507
1927,Robert Ludlum,2008-04-01T03:28:50.625462,760,508
1981,Rachel McMillan,2019-05-24T09:38:57.161562,3,509
,,2020-09-02T04:47:46.664736,3,510
1932,Stephen R. Covey,2008-04-01T03:28:50.625462,347,511
1943,Doris Kearns Goodwin,2008-04-01T03:28:50.625462,12,512
,,2010-03-12T05:24:11.762036,16,513
,Beverly Daniel Tatum,2008-04-01T03:28:50.625462,8,514
,Kate William,2008-04-01T03:28:50.625462,174,515
,,2019-11-04T07:31:17.734567,17,516
1947,Robert T. Kiyosaki,2008-04-01T03:28:50.625462,279,517
1964,Kate DiCamillo,2008-04-01T03:28:50.625462,105,518
1960,Roger Crawford,,13,519
,,,61,520
,Allyson Kramer,2012-02-08T10:49:32.495221,4,521
,Meghann Foye,2019-07-19T14:01:40.741767,3,522
1956,"Golden, Arthur",2008-04-29T13:35:46.876380,25,523
,,2019-02-04T01:06:56.417336,16,524
1963,Yann Martel,2008-04-01T03:28:50.625462,19,525
,John Meyer,2008-10-26T16:56:30.266541,49,526
1906,Eleanor Alice Burford Hibbert,2008-04-01T03:28:50.625462,343,527
1933,David G. McCullough,2008-04-29T13:35:46.876380,69,528
,Mark Bittman,2008-04-01T03:28:50.625462,52,529
1960,Nigella Lawson,2008-04-01T03:28:50.625462,25,530
